6,2189,1
6,3122,1
6,4463,2
6,6352,1
10,448,1
10,1500,2
10,4483,1
10,4718,2
11,86,2
11,4793,1
11,5062,2
16,1329,2
16,1553,2
16,1624,2
16,2965,2
16,3737,2
16,5128,2
16,5736,2
24,422,1
24,853,1
24,894,2
24,1427,1
24,2535,1
24,2781,3
24,3376,1
24,5831,2
27,288,2
27,427,2
27,1508,2
27,1979,2
27,3310,2
27,5356,2
27,6326,1
78,236,2
78,827,3
78,857,6
78,945,1
78,1844,1
78,1862,2
78,1930,1
78,2536,1
78,3122,3
78,3269,3
78,3647,2
78,3919,1
78,4072,3
78,4204,1
78,4293,3
78,4298,1
78,4301,2
78,4499,1
78,4663,1
78,5305,1
78,5425,4
78,5891,1
86,4793,1
86,5062,2
143,931,1
143,1273,2
143,2656,2
143,2735,1
143,4973,1
161,1166,2
161,1445,2
161,3115,1
161,5096,1
161,5848,1
178,616,1
178,3990,1
178,5999,1
178,6088,1
192,1941,2
192,2016,2
192,2653,3
192,2927,2
192,5135,2
192,6378,1
199,1669,2
199,1737,2
199,2046,2
199,2050,2
199,2064,2
199,4171,2
208,639,1
208,1662,1
208,1768,2
208,1943,1
208,3569,1
208,4668,1
236,478,1
236,857,1
236,945,1
236,1212,1
236,2189,1
236,2546,1
236,2560,1
236,3122,2
236,3647,1
236,4204,1
236,4267,2
236,5999,1
236,6090,2
241,952,1
241,3767,3
241,5139,1
288,427,2
288,1508,2
288,1979,2
288,3310,2
288,5356,2
288,6326,1
299,1223,2
299,1941,2
299,2430,2
299,3390,2
299,3572,2
299,5163,2
321,768,2
321,2315,3
321,3644,3
321,3842,2
396,2780,1
396,3141,1
396,3342,2
396,3415,1
396,4793,2
396,5072,1
396,5832,1
419,701,3
419,1171,3
419,2897,2
419,5094,3
419,5232,3
422,1464,1
422,2781,2
422,3376,1
422,4024,1
422,5139,1
427,1508,2
427,1979,2
427,3310,2
427,5356,2
427,6326,1
436,4204,1
436,6332,1
436,6394,1
445,1846,2
445,1861,2
445,3079,1
445,3694,2
445,4913,2
447,2137,1
447,3077,2
447,4290,1
447,4744,2
448,2447,1
448,2536,1
448,2935,1
448,3694,1
460,701,2
460,2091,1
460,2571,2
460,3497,1
460,5093,2
460,5119,1
460,5232,1
478,2189,1
478,2546,1
478,3122,1
478,4070,2
478,4293,1
478,4955,2
478,5980,2
554,1464,1
554,2447,1
554,3731,1
554,4546,1
554,5095,1
554,5139,1
580,1341,1
580,3116,2
580,5328,1
580,5823,3
580,5856,1
580,6326,3
588,1860,2
588,2560,2
588,2724,1
588,3990,1
588,4181,3
588,6114,4
588,6163,3
616,2656,3
639,857,1
639,1662,2
639,1768,1
639,1943,2
639,2082,1
639,4444,1
639,6351,1
701,1171,3
701,1204,2
701,2091,2
701,2370,2
701,2571,4
701,2816,1
701,2897,2
701,3497,2
701,5093,3
701,5094,3
701,5119,5
701,5232,6
701,6088,2
726,1758,1
726,2780,1
726,3342,1
726,4793,1
726,5072,1
726,5832,1
750,1941,1
750,2137,1
750,2430,1
750,3572,1
750,4290,1
750,5163,1
750,5995,1
768,2315,2
768,3644,2
768,3842,2
771,2362,1
771,4933,1
771,5379,1
771,5980,1
771,6213,1
771,6285,1
787,1560,3
787,1911,2
787,4181,1
827,857,3
827,3269,3
827,5425,3
853,1427,1
853,2535,4
853,4364,1
853,5030,1
853,5031,1
853,5151,1
856,1830,2
856,1941,2
856,5777,2
856,6001,2
857,945,1
857,1862,1
857,2082,1
857,3269,3
857,3647,1
857,4204,1
857,4444,1
857,4663,1
857,5305,2
857,5425,4
857,5848,1
857,6351,1
863,1184,1
863,1862,2
863,4663,1
894,2781,2
894,5831,2
931,1189,1
931,1207,1
931,1273,2
931,1964,1
931,2043,1
931,2656,2
931,2735,2
931,3017,1
931,3617,1
931,3842,3
931,4809,1
931,5245,5
931,5660,5
945,4204,4
945,4784,2
952,3767,1
952,5139,1
964,1219,2
964,1552,1
964,1624,2
964,1939,2
964,1941,2
964,2120,2
964,2430,1
964,3572,2
1073,2489,1
1073,3342,1
1073,3415,1
1073,3826,1
1073,4311,1
1073,4792,1
1073,4793,1
1073,4809,1
1137,3936,2
1137,4415,2
1137,5132,2
1137,5995,1
1166,1445,2
1166,3115,1
1166,5096,1
1166,5848,1
1171,2897,2
1171,5094,3
1171,5232,3
1184,1862,2
1184,4663,1
1189,3017,1
1189,3617,1
1200,2476,2
1200,4182,2
1200,4600,2
1200,4724,1
1204,2370,2
1204,5119,2
1204,6088,2
1206,1225,1
1206,1941,2
1206,2430,1
1206,2629,1
1206,2653,1
1206,3572,1
1206,4368,1
1206,5135,2
1207,1964,4
1207,2043,4
1207,3639,1
1212,3122,1
1212,4267,1
1212,5245,1
1212,5999,1
1212,6090,1
1219,1552,1
1219,1624,2
1219,1939,2
1219,1941,2
1219,2120,2
1219,2430,1
1219,3572,2
1223,1941,2
1223,2430,3
1223,3390,3
1223,3572,3
1223,5163,3
1225,1941,1
1225,2430,1
1225,2629,1
1225,3572,1
1225,3990,1
1225,4368,1
1225,5135,1
1258,1703,3
1258,2836,3
1258,3504,2
1258,5740,2
1260,2414,1
